,"Tube in -	Petit_Complexe	-	2012.09.27 13:25:11","Tube in -	Petit_Complexe	-	2012.09.27 13:25:03","Tube in -	Petit_Complexe	-	2012.09.27 13:31:05","Tube in -	Petit_Complexe	-	2012.09.27 13:30:56","Tube in -	Petit_Complexe	-	2012.09.27 13:33:33","Tube in -	Petit_Complexe	-	2012.09.27 13:33:26","Tube in -	Petit_Complexe	-	2012.09.27 13:34:47","Tube in -	Petit_Complexe	-	2012.09.27 13:34:40","Tube in -	Petit_Complexe	-	2012.09.27 13:36:44","Tube in -	Petit_Complexe	-	2012.09.27 13:36:38","Tube in -	Petit_Complexe	-	2012.09.27 13:38:28","Tube in -	Petit_Complexe	-	2012.09.27 13:38:20","Tube in -	Petit_Complexe	-	2012.09.27 13:40:55","Tube in -	Petit_Complexe	-	2012.09.27 13:40:48","Tube in -	Petit_Complexe	-	2012.09.27 13:42:10","Tube in -	Petit_Complexe	-	2012.09.27 13:42:03","Tube in -	Petit_Complexe	-	2012.09.27 13:45:51","Tube in -	Petit_Complexe	-	2012.09.27 13:45:45","Tube in -	Petit_Complexe	-	2012.09.27 13:47:51","Tube in -	Petit_Complexe	-	2012.09.27 13:47:43","Tube in -	Petit_Complexe	-	2012.09.27 13:49:10","Tube in -	Petit_Complexe	-	2012.09.27 13:49:03","Tube in -	Petit_Complexe	-	2012.09.27 16:57:15","Tube in -	Petit_Complexe	-	2012.09.27 16:57:09"
Freq,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data,Impedance data
1723.5,2.829472303,2.816454887,3.390754938,3.373883486,3.878573179,3.883652449,4.457841873,4.437198162,5.18558073,5.170267105,5.871791363,5.837080479,7.120132446,6.95499897,8.165324211,8.146613121,8.98891449,8.982477188,10.80497265,10.73489952,13.22409058,13.15064621,2.644208193,2.633676767
1724,2.822464466,2.809149981,3.377271175,3.360695601,3.867017508,3.872365952,4.438138008,4.41711235,5.16931963,5.154619217,5.839608192,5.806470871,7.079785347,6.915156841,8.126490593,8.108299255,8.944028854,8.938689232,10.72801685,10.66149712,13.09780025,13.02515125,2.636635303,2.624503851
1724.5,2.80866313,2.795274734,3.355543852,3.339266062,3.846951246,3.852628469,4.408782482,4.388206005,5.142080784,5.127970219,5.796113014,5.764344215,7.024303436,6.861017227,8.071292877,8.052802086,8.884353638,8.879220963,10.63612652,10.57210922,12.95389748,12.88197708,2.626451254,2.615278244
1725,2.79460907,2.781356812,3.333724737,3.317142725,3.82738328,3.832507849,4.37851572,4.358580589,5.114531517,5.101182461,5.752979279,5.721437454,6.967877865,6.805572987,8.016225815,7.997206688,8.826399803,8.820881844,10.54613304,10.48365974,12.80917072,12.73966122,2.612235069,2.603112698
1725.5,2.785644531,2.772550583,3.317741156,3.301252842,3.815384865,3.820190668,4.355318546,4.33683157,5.09650898,5.083204269,5.719585419,5.689074993,6.923561096,6.760989189,7.975511074,7.955715179,8.783124924,8.777899742,10.47153854,10.41080379,12.68160629,12.61521721,2.597543716,2.588444471
1726,2.778973818,2.765615463,3.304739237,3.28828764,3.806742668,3.811790228,4.335544109,4.318203449,5.082653522,5.069729805,5.690918922,5.662490368,6.883834839,6.721033573,7.940003395,7.920600891,8.744817734,8.739894867,10.40083408,10.34306145,12.56103897,12.49670982,2.585963249,2.574681282
1726.5,2.769509554,2.755241394,3.287928581,3.272041082,3.794264793,3.799995899,4.312334061,4.295079708,5.063968658,5.05090189,5.65782547,5.631734371,6.837776661,6.675804138,7.896736145,7.877361774,8.697622299,8.692998886,10.32033539,10.26574516,12.43257618,12.36860561,2.576081276,2.562945604
1727,2.757225275,2.742814302,3.268682718,3.252975702,3.779150248,3.78527379,4.287001133,4.269452572,5.042047024,5.02834034,5.623268604,5.598628998,6.786849499,6.626492023,7.848495483,7.828670502,8.645207405,8.641074181,10.23734665,10.18477821,12.30352402,12.24064922,2.564819336,2.553135872
1727.5,2.746478081,2.732012033,3.251707315,3.236167908,3.766615868,3.772634745,4.264689922,4.24753809,5.022834778,5.009558201,5.593865871,5.569694042,6.740498066,6.58157444,7.804875851,7.783592701,8.599283218,8.595103264,10.16597939,10.11526775,12.18873405,12.12806034,2.552015066,2.542906761
1728,2.736992121,2.722526312,3.236495972,3.221139431,3.755752563,3.761767387,4.244024754,4.227759838,5.005278111,4.992136478,5.566411495,5.543223858,6.696990967,6.538202286,7.762649059,7.740695953,8.556732178,8.552613258,10.10183048,10.05202484,12.08097267,12.02290249,2.539001703,2.529879808
1728.5,2.724104881,2.70951128,3.218147755,3.203025103,3.741439819,3.747272015,4.218748569,4.203588963,4.981965542,4.968748093,5.532720089,5.511703491,6.646616936,6.488706112,7.712088585,7.689991951,8.506916046,8.502639771,10.02926826,9.981049538,11.96166897,11.90514565,2.524986029,2.513897419
1729,2.709242821,2.694036007,3.197478771,3.182780504,3.72413516,3.730528355,4.191289425,4.176365852,4.955871582,4.942575455,5.496170521,5.477284908,6.592380047,6.436230659,7.657326698,7.634958744,8.453561783,8.449285507,9.951187134,9.905146599,11.83530617,11.77962589,2.510329008,2.497875929
1729.5,2.696813345,2.681111097,3.180376768,3.166789532,3.711459398,3.718075514,4.169563293,4.154308796,4.935729027,4.922279358,5.467591763,5.450838566,6.546219826,6.392323017,7.612488747,7.590073586,8.41060257,8.406537056,9.884281158,9.839959145,11.72430706,11.66868305,2.496811628,2.486296177
1730,2.688404799,2.6725564,3.169248581,3.155846119,3.70483923,3.711328268,4.154869556,4.13990593,4.923879147,4.91024971,5.449120998,5.433539391,6.510622025,6.357813358,7.580061436,7.557367802,8.379579544,8.375299454,9.83109951,9.787637711,11.63241291,11.57829094,2.486999512,2.478051901
1730.5,2.678812265,2.662904739,3.157161951,3.143848181,3.696438074,3.702677488,4.138473988,4.124186993,4.908747673,4.8945508,5.42908144,5.414423943,6.471142769,6.319356441,7.542591572,7.519133091,8.34193325,8.337813377,9.772503853,9.729440689,11.53673744,11.48523712,2.478150368,2.468231678
1731,2.664040804,2.648364067,3.139089108,3.126132727,3.679979086,3.686488152,4.114219666,4.100701332,4.882869244,4.868174076,5.398050308,5.385068893,6.419107437,6.268196106,7.487781525,7.464034557,8.286642075,8.281692505,9.697340965,9.655378342,11.42294979,11.3738184,2.465057135,2.45363307
1731.5,2.64703536,2.631142378,3.118970394,3.106937647,3.660843134,3.667521477,4.087976933,4.074387074,4.853883266,4.838634491,5.363668442,5.352895737,6.364190578,6.215110779,7.427970409,7.4043293,8.22781086,8.223053932,9.62238884,9.582212448,11.30945873,11.26154518,2.448457241,2.437516928
1732,2.633354902,2.617200613,3.103453159,3.092399597,3.647074699,3.654161453,4.068759918,4.054663658,4.832216263,4.816190243,5.338265896,5.329278946,6.320177555,6.173181057,7.380618095,7.35682869,8.184337616,8.180030823,9.566226006,9.527832985,11.21637154,11.16866112,2.434063911,2.424253941
1732.5,2.623419285,2.607212782,3.093149424,3.082437277,3.638337851,3.645292521,4.055070877,4.041496277,4.817891598,4.801243782,5.321771145,5.313670158,6.285036564,6.140487671,7.344750881,7.320543766,8.154269218,8.149907112,9.523946762,9.486765862,11.13677597,11.09003162,2.424988508,2.415332079
